SeqID	Seq start	Seq stop	Seq length	Domain ID	Model ID	Model start	Model stop	Model size	E-value	Biscore	Accuracy	Species of the template used for the model
YP_008530239.1	3	63	63	PF17259	A0A239U8B3_9STAP_1-63	2	61	61	1.4e-24	83.0	0.98	Staphylococcus piscifermentans
YP_008530240.1	4	58	65	PF10957	R7F3J2_9BACI_1-56	1	29	58	2.8e-05	21.3	0.85	Bacillus sp. CAG:988
YP_008530241.1	1	117	120	PF01741	HMMer-3	1	120	121	1.3e-40	135.9	0.91	HMMer-3 model
YP_008530243.1	7	101	102	PF00338	HMMer-3	1	98	98	3.6e-36	120.7	0.99	HMMer-3 model
YP_008530244.1	1	58	63	PF07264	Q3IKB1_PSEHT_9-222	110	162	212	0.00052	17.2	0.87	Pseudoalteromonas haloplanktis TAC125
YP_498609.1	4	67	453	PF11638	E6MCB2_STALU_16-79	1	62	64	1.1e-18	64.3	0.97	Staphylococcus lugdunensis M23590
YP_498609.1	116	334	453	PF00308	HMMer-3	2	217	219	1.2e-102	339.8	0.99	HMMer-3 model
YP_498609.1	361	429	453	PF08299	HMMer-3	1	69	69	7.8e-32	106.5	0.98	HMMer-3 model
YP_498610.1	2	128	377	PF00712	HMMer-3	1	121	121	7.7e-42	139.6	0.99	HMMer-3 model
YP_498610.1	137	251	377	PF02767	HMMer-3	1	116	116	4.6e-43	143.5	0.98	HMMer-3 model
YP_498610.1	253	375	377	PF02768	HMMer-3	2	121	121	1.3e-40	135.3	0.98	HMMer-3 model
YP_498611.1	11	68	81	PF13275	A0A0F7HIK0_9STAP_3-68	3	55	58	2.8e-27	91.6	0.96	Salinicoccus halodurans
YP_498612.1	2	351	370	PF02463	Q8XPF9_CLOPE_2-360	1	303	308	2.4e-73	245.0	0.96	Clostridium perfringens str. 13
YP_498613.1	41	183	644	PF02518	A0A087DH57_9BIFI_31-201	2	144	144	7.3e-58	192.3	0.98	Bifidobacterium scardovii
YP_498613.1	232	402	644	PF00204	HMMer-3	1	173	174	2.1e-63	210.3	0.99	HMMer-3 model
YP_498613.1	430	548	644	PF01751	F8F0R0_TRECH_399-514	1	114	115	4.8e-52	172.0	0.98	Treponema caldarium DSM 7334
YP_498613.1	540	638	644	PF16898	E1XT21_BPSAV_534-632	1	98	99	8.5e-40	132.7	0.99	Salmonella virus ViI
YP_498614.1	33	461	887	PF00521	A0A0N0I3M0_9ACTN_56-500	1	426	426	1.3e-187	621.2	0.99	Streptomyces sp. NRRL F-6602
YP_498614.1	505	553	887	PF03989	R7LF38_9BACT_500-548	1	47	49	1.3e-15	54.7	0.97	Prevotella sp. CAG:891
YP_498614.1	556	605	887	PF03989	A4VUE1_STRSY_546-597	1	49	50	3.3e-17	59.7	0.95	Streptococcus suis 05ZYH33
YP_498614.1	613	657	887	PF03989	D4GZ02_HALVD_629-674	2	45	45	1e-15	54.6	0.97	Haloferax volcanii DS2
YP_498614.1	661	707	887	PF03989	W0E165_MARPU_694-741	1	46	47	9e-16	54.7	0.97	Marichromatium purpuratum 984
YP_498614.1	714	760	887	PF03989	U7GJU8_9RHOB_796-844	2	44	47	5.8e-15	52.5	0.91	Labrenzia sp. C1B10
YP_498614.1	764	809	887	PF03989	E6SDW9_INTC7_803-849	1	46	46	1.2e-14	51.2	0.97	Intrasporangium calvum DSM 43043
YP_498615.1	1	226	233	PF01256	HMMer-3	15	243	244	3.1e-52	174.8	0.95	HMMer-3 model
YP_498616.1	10	471	504	PF00221	HMMer-3	1	464	464	1.5e-184	611.4	0.98	HMMer-3 model
YP_498617.1	1	108	428	PF02403	HMMer-3	1	107	108	1.2e-33	112.9	0.99	HMMer-3 model
YP_498617.1	224	400	428	PF00587	B1ZVZ6_OPITP_216-398	2	177	177	9.5e-72	237.9	0.99	Opitutus terrae PB90-1
YP_498618.1	26	178	231	PF03591	U7GHQ6_9RHOB_35-202	1	153	154	1.8e-44	148.9	0.98	Labrenzia sp. C1B10
